,TEAM,MATCH UP,GAME DATE,MIN,EFG%,FTA RATE,TOV%,TOV,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_TOV,OPP_OREB%,OPP,Home/Away,REST,PTS,OPP_PTS,+/-,WIN,OPP_REST
146,SAS,SAS @ UTA,11/4/16,48,0.482,0.265,0.116,11.6,0.214,0.444,0.3,0.128,12.8,0.184,UTA,0,3,100,86,14,1,2
147,WAS,WAS vs. ATL,11/4/16,48,0.419,0.438,0.184,18.4,0.229,0.416,0.434,0.168,16.8,0.222,ATL,1,2,95,92,3,1,2
148,MIA,MIA @ TOR,11/4/16,48,0.438,0.17,0.136,13.6,0.245,0.476,0.214,0.169,16.9,0.295,TOR,0,3,87,96,-9,0,2
149,CHI,CHI vs. NYK,11/4/16,48,0.488,0.321,0.138,13.8,0.341,0.567,0.236,0.054,5.4,0.289,NYK,1,2,104,117,-13,0,2
150,NOP,NOP vs. PHX,11/4/16,53,0.511,0.298,0.082,8.2,0.113,0.473,0.301,0.146,14.6,0.245,PHX,1,2,111,112,-1,0,2
151,DAL,DAL vs. POR,11/4/16,48,0.47,0.241,0.133,13.3,0.167,0.525,0.325,0.142,14.2,0.159,POR,1,2,95,105,-10,0,2
152,TOR,TOR vs. MIA,11/4/16,48,0.476,0.214,0.169,16.9,0.295,0.438,0.17,0.136,13.6,0.245,MIA,1,2,96,87,9,1,3
153,GSW,GSW @ LAL,11/4/16,48,0.483,0.233,0.189,18.9,0.205,0.516,0.221,0.153,15.3,0.34,LAL,0,1,97,117,-20,0,2
154,ATL,ATL @ WAS,11/4/16,48,0.416,0.434,0.168,16.8,0.222,0.419,0.438,0.184,18.4,0.229,WAS,0,2,92,95,-3,0,2
155,MEM,MEM vs. LAC,11/4/16,48,0.423,0.262,0.191,19.1,0.265,0.424,0.388,0.119,11.9,0.239,LAC,1,2,88,99,-11,0,2
156,MIL,MIL vs. SAC,11/5/16,48,0.585,0.305,0.183,18.3,0.425,0.452,0.226,0.159,15.9,0.265,SAC,1,2,117,91,26,1,2
157,DEN,DEN @ DET,11/5/16,48,0.367,0.213,0.156,15.6,0.296,0.518,0.262,0.142,14.2,0.22,DET,0,2,86,103,-17,0,3
158,WAS,WAS @ ORL,11/5/16,48,0.43,0.198,0.122,12.2,0.298,0.455,0.346,0.101,10.1,0.222,ORL,0,1,86,88,-2,0,2
159,PHI,PHI vs. CLE,11/5/16,48,0.54,0.138,0.163,16.3,0.116,0.484,0.198,0.154,15.4,0.216,CLE,1,3,101,102,-1,0,2
160,ORL,ORL vs. WAS,11/5/16,48,0.455,0.346,0.101,10.1,0.222,0.43,0.198,0.122,12.2,0.298,WAS,1,2,88,86,2,1,1
